prefixe	titre	soustitre	description	citation	pays	titrelien	lien
GRE	Greek exit 	Sortie de la Grèce	Fin mai, Christine Lagarde, patronne du FMI, <a href="http://www.lemonde.fr/economie/article/2015/05/29/christine-lagarde-evoque-un-grexit_4643174_3234.html" target="_blank">affirmait que la sortie de la Grèce de l'euro était une <em>«possibilité»</em></a> alors que les négociations entre le pays et ses créanciers avaient du mal à aboutir. Syriza, vainqueur du dernier scrutin de janvier, a en revanche garanti que la sortie de l'euro n'était plus à son programme. Mais <a href="http://www.liberation.fr/economie/2015/06/08/concours-de-caricatures-entre-alexis-tsipras-et-le-fmi_1325473" target="_blank">les deux jouent sur cette possibilité, la jugeant chacun impossible</a>. Un défaut de la Grèce pourrait lui aussi aboutir à une sortie, involontaire, de la Grèce. On parle alors de <em>«grexident»</em> pour <em>«Greek exit par accident»</em>.	<em>«Vous pouvez régler la note quand vous voulez, mais vous ne pouvez pas partir»</em> in <em>Hotel California</em> des Eagles, cité par <a href="http://www.bloomberg.com/news/articles/2015-02-02/greece-s-new-finance-minister-is-brilliant-so-why-does-he-make-everyone-so-nervous-" target="_blank">le ministre des finances grec Yanis Varoufakis</a>.	la Grèce	Concours de caricatures entre Aléxis Tsípras et le FMI	http://www.liberation.fr/economie/2015/06/08/concours-de-caricatures-entre-alexis-tsipras-et-le-fmi_1325473
BRE	British exit	Sortie du Royaume-Uni	Le référendum promis par David Cameron <a href="http://www.liberation.fr/monde/2015/05/11/grande-bretagne-david-cameron-tente-d-avancer-a-2016-son-referendum-sur-l-ue_1306961" target="_blank">doit avoir lieu avant la fin de l'année 2017</a>, après un premier référendum en 1975 ou le maintien l'avait emporté. Le Royaume-Uni doit-il rester dans l'Union européenne ? Alors que le pays est déjà absent de l'union monétaire ou des accords de Schengen, l'exécutif britannique souhaite également renégocier son attachement à d'autres traités, notamment concernant la prise en charge sociale des ressortissants européens, qu'il souhaiterait voir supprimée. C'est la condition que le Premier ministre David Cameron a posé pour son soutien au maintien dans l'UE.	<em>«Si une fois fait c’était fini, il serait bon que ce fût vite»</em>, in <em>Macbeth</em> de Shakespeare, <a href="http://www.theguardian.com/commentisfree/2015/may/24/andrew-rawnsley-european-referendum-david-cameron-man-in-a-hurry" target="_blank">cité par le journaliste de <em>The Observer</em> Andrew Rawsnley</a>.	le Royaume-Uni	Le Royaume-Uni, entre impasse et sortie de route	http://bruxelles.blogs.liberation.fr/2015/05/12/le-royaume-uni-entre-impasse-et-sortie-de-route/
FRE	French exit	Sortie de la France	La sortie de l'Union européenne n'est à l'ordre du jour dans aucun des principaux partis politiques. Le Front national, qui le proposait en 2002, fait maintenant campagne sur une renégociation des traités. La sortie de l'euro est une hypothèse plus partagée, <a href="http://www.liberation.fr/politiques/2012/03/22/un-referendum-sur-l-euro-le-grand-virage-de-marine-le-pen_805037">notamment par le FN</a>, Debout la France et certains penseurs de la gauche radicale, sans savoir quels effets aurait cette sortie volontaire sur la zone euro en elle-même et sur la participation de la France à l'UE.		la France	La France, de plus en plus étrangère à l'Europe	http://bruxelles.blogs.liberation.fr/2015/03/15/la-france-de-plus-en-plus-etrangere-leurope/
GER	German exit	Sortie de l'Allemagne	La question de la fin de la participation de l'Allemagne à l'Union européenne n'est pas au programme des principaux partis allemands. En revanche, elle est souhaitée par quelques commentateurs en faveur des politiques moins austéritaires, notamment en Grèce, à laquelle l'Allemagne s'oppose. Ainsi, en 2012, le financier George Soros <a href="http://www.ft.com/intl/cms/s/0/7d4a9490-fa71-11e1-93da-00144feabdc0.html?siteedition=intl#axzz264zMM0OR" target="_blank">demandait à l'Allemagne</a> de <em>«diriger ou quitter»</em> l'UE.		l'Allemagne	Allemagne, la mal-aimée de l'Europe	http://bruxelles.blogs.liberation.fr/2015/03/03/allemagne-la-mal-aimee-de-leurope/
HE	Hungarian exit	Sortie de la Hongrie	La participation de la Hongrie à l'Union européenne pourrait être remise en cause par les réformes à rebours des traités européens voulues par le gouvernement populo-nationaliste au pouvoir. Fin mai, <a href="http://www.sueddeutsche.de/politik/europaeische-union-juncker-droht-ungarn-mit-rausschmiss-1.2501777" target="_blank">Jean-Claude Juncker, le président de la Commission européenne, menaçait le pays d'une sortie de l'Union</a> si la peine de mort y était réintroduite, comme l'avait laissé entendre Viktor Orbán avant de démentir. En 2014 déjà, le président du Parlement hongrois souhaitait une sortie de l'UE si celle-ci pesait trop dans les décisions de politique intérieure.		la Hongrie	En Hongrie, Viktor Orbán nourrit la surenchère xénophobe	http://www.liberation.fr/monde/2015/05/19/en-hongrie-viktor-orban-nourrit-la-surenchere-xenophobe_1312603
FI	Finnish exit	Sortie de la Finlande	L'arrivée au pouvoir des Vrais Finlandais, parti eurosceptique, au sein de la coalition qui l'a emporté en mai, pouvait faire craindre une sortie de la Finlande de l'euro ou de l'UE. Le chef du parti, devenu ministre des Affaires étrangères <a href="http://www.liberation.fr/monde/2015/05/27/finlande-l-eurosceptique-timo-soini-devient-chef-de-la-diplomatie_1317818" target="_blank">est toutefois revenu sur ses déclarations</a>. S'il a milité pour une sortie de l'euro, leur position est aujourd'hui de réformer l'Union plutôt que de la quitter. En 2012 déjà, <a href="http://www.wsj.com/articles/SB10001424052702303962304577510232449188446" target="_blank">certains dirigeants disaient qu'ils étaient prêts à quitter l'euro plutôt que de payer pour les autres</a>. Mais avec un déficit supérieur à 3%, la situation n'est désormais plus si simple et la sortie de la Finlande de l'euro n'est plus vue comme la meilleure solution.		la Finlande	Finlande: l’eurosceptique Timo Soini devient chef de la diplomatie	http://www.liberation.fr/monde/2015/05/27/finlande-l-eurosceptique-timo-soini-devient-chef-de-la-diplomatie_1317818
ITA	Italian exit 	Sortie de l'Italie	En avril, Beppe Grillo, leader du parti populiste Cinq Etoiles, disait avoir reçu plus de 100 000 signatures pour une pétition permettant de proposer la sortie de l'euro par référendum. Partagée avec l'extrême droite et Silvio Berlusconi, l'idée d'une sortie de la zone euro <a href="http://www.liberation.fr/monde/2014/11/18/en-italie-le-grand-marche-commun-de-l-europhobie_1145566" target="_blank">séduit même au sein du Parti démocrate au pouvoir</a>. Une position qui n'est néanmoins pas partagée par l'ensemble du parti ni par le gouvernement.		l'Italie	En Italie, le grand marché commun de l’europhobie	http://www.liberation.fr/monde/2014/11/18/en-italie-le-grand-marche-commun-de-l-europhobie_1145566
SPA	Spanish exit	Sortie de l'Espagne	<em>«Si la Grèce quitte la zone euro, l'Espagne pourrait bien être la prochaine à partir»,</em> <a href="http://www.huffingtonpost.com/2015/03/13/if-greece-leaves-eurozone_n_6867850.html" target="_blank">a prévenu le ministre de la Défense grec</a>, alors qu'on l'interrogeait sur une sortie possible de la Grèce.		l'Espagne		
NE	The Netherlands exit	Sortie des Pays-Bas	En février 2014, le leader du Parti pour la liberté (populiste et xénophobe) Geert Wilders, <a href="http://www.ft.com/intl/cms/s/0/0030c5f4-8f19-11e3-be85-00144feab7de.html#axzz3cTqwHRpg" target="_blank">citant une étude – contestée – commandée par sa formation politique à Capital Economics</a>, déclarait qu'une sortie de l'euro assurerait des milliards d'euros de revenus et que l'économie serait dix fois plus importante en dix ans. Le ministre des Finances néerlandais et dirigeant de l'Eurogroupe, Jeroen Dijsselbloem, avait déclaré qu'il ne serait <em>«pas avisé»</em> de quitter l'Union. En mai 2014, le parti de Wilders a ensuite subi <a href="http://www.liberation.fr/monde/2014/05/23/europeennes-revers-pour-le-populiste-neerlandais-geert-wilders_1024857" target="_blank">un revers important aux élections européennes de mai</a>.		la Hollande		
UE	Union exit	Implosion de l'Union europénne	L'Union européenne est <a href="http://bruxelles.blogs.liberation.fr/2015/05/20/entre-brexit-et-grexit-lere-de-la-deconstruction-communautaire/" target="_blank">plus habituée à s'élargir qu'à rétrécir</a>. Jamais un pays n'a quitté l'Union et aucune disposition des traités n'encadre clairement la sortie de l'euro. Les conséquences sont encore très floues. Et même si la sortie d'un pays de l'UE donnait un nouveau souffle à l'union politique ou monétaire, cela pourrait aussi créer un précédent et préparer de nouvelles sorties, voire l'implosion complète.		l'Union européenne	Entre «Brexit» et «Grexit», l'ère de la déconstruction communautaire ?	http://bruxelles.blogs.liberation.fr/2015/05/20/entre-brexit-et-grexit-lere-de-la-deconstruction-communautaire/